,name,medal_type,count
0,671,Bronze Medal,1
1,AABERG IVERSEN Sarah,Bronze Medal,1
2,AARDAHL Maren,Gold Medal,1
3,AARTS Laura,Bronze Medal,1
4,ABDI Bashir,Silver Medal,1
5,ABDULLAEV Gulomjon,Bronze Medal,1
6,ABE Hifumi,Gold Medal,1
7,ABE Hifumi,Silver Medal,1
8,ABE Uta,Silver Medal,1
9,ABHISHEK Abhishek,Bronze Medal,1
10,ABOUDOU MOINDZE Djamili-Dini,Bronze Medal,1
11,ACOSTA FERNANDEZ Yasmani,Silver Medal,1
12,ADAM Adriana,Gold Medal,1
13,ADDIS Baptiste,Silver Medal,1
14,ADEBAYO Bam,Gold Medal,1
15,ADJIBI Eliezer,Gold Medal,1
16,ADRIANA,Silver Medal,1
17,AGBEGNENOU Clarisse,Bronze Medal,1
18,AGBEGNENOU Clarisse,Gold Medal,1
19,AHMAN David,Gold Medal,1
20,AHMED Sara,Silver Medal,1
21,AKAMA Liz,Silver Medal,1
22,AKBAS Hatice,Silver Medal,1
23,AKGUL Taha,Bronze Medal,1
24,AKHOMACH Ilias,Bronze Medal,1
25,AKIO Augusto,Bronze Medal,1
26,AKLIOUCHE Maghnes,Silver Medal,1
27,ALBA Rafael,Bronze Medal,1
28,ALBERS Felice,Gold Medal,1
29,ALBERT Korbin,Gold Medal,1
30,ALBERTARRIO Agustina,Bronze Medal,1
31,ALBICY Andrew,Silver Medal,1
32,ALCANTARA REYES Yunior,Bronze Medal,1
33,ALCARAZ Carlos,Silver Medal,1
34,ALDRIDGE Eleanor,Gold Medal,1
35,ALDRIDGE Matt,Bronze Medal,1
36,ALEKNA Mykolas,Silver Medal,1
37,ALEKSANYAN Artur,Silver Medal,1
38,ALESSIO Simone,Bronze Medal,1
39,ALEXANDRE COSTA NUNES Nyeme Victor,Bronze Medal,1
40,ALEXY Jack,Gold Medal,1
41,ALEXY Jack,Silver Medal,1
42,ALFONSO DOMINGUEZ Loren Berto,Silver Medal,1
43,ALFRED Julien,Gold Medal,1
44,ALFRED Julien,Silver Medal,1
45,ALLMAN Valarie,Gold Medal,1
46,ALONSO Agostina,Bronze Medal,1
47,ALONSO Gracia,Silver Medal,1
48,ALVAREZ Anita,Silver Medal,1
49,ALVAREZ BORGES Erislandy,Gold Medal,1
50,AMAN Aman,Bronze Medal,1
51,AMBLER David,Bronze Medal,1
52,AMI,Gold Medal,1
53,AMOUZADKHALILI Rahman,Silver Medal,1
54,AMOYAN Malkhas,Bronze Medal,1
55,AN Baul,Bronze Medal,1
56,AN Qixuan,Silver Medal,1
57,AN Se Young,Gold Medal,1
58,ANA VITORIA,Silver Medal,1
59,ANDERSON Iona,Bronze Medal,1
60,ANDERSON Iona,Silver Medal,1
61,ANDERSON Lola,Gold Medal,1
62,ANDERSON Matthew,Bronze Medal,1
63,ANDERSSON Lasse,Gold Medal,1
64,ANDRADE Rebeca,Bronze Medal,1
65,ANDRADE Rebeca,Gold Medal,1
66,ANDRADE Rebeca,Silver Medal,2
67,ANDRASFI Tibor,Gold Medal,1
68,ANDRE Sylvain,Silver Medal,1
69,ANDREEV Bozhidar Dimitrov,Bronze Medal,1
70,ANDREEVA Mirra,Silver Medal,1
71,ANDREOLI Angela,Silver Medal,1
72,ANDREWS Abby,Silver Medal,1
73,ANDREWS Charlize,Silver Medal,1
74,ANDREWS Ellesse,Gold Medal,2
75,ANDREWS Ellesse,Silver Medal,1
76,ANGELINA,Silver Medal,1
77,ANGHEL Roxana,Gold Medal,1
78,ANGHEL Roxana,Silver Medal,1
79,ANNING Amber,Bronze Medal,2
80,ANRAKU Sorato,Silver Medal,1
81,ANTONIA,Silver Medal,1
82,ANTROPOVA Ekaterina,Gold Medal,1
83,ANYOMI Nicole,Bronze Medal,1
84,APITHY Bolade,Bronze Medal,1
85,APITHY-BRUNET Manon,Gold Medal,1
86,APPS Olivia,Silver Medal,1
87,ARANCINI Zoe,Silver Medal,1
88,ARAUJO Natalia,Bronze Medal,1
89,AREGAWI Berihu,Silver Medal,1
90,AREVALO Carlos,Bronze Medal,1
91,ARMIT Elle,Silver Medal,1
92,ARMSTRONG Hunter,Gold Medal,1
93,ARMSTRONG Hunter,Silver Medal,1
94,ARNOLDSEN Thomas,Gold Medal,1
95,AROP Marco,Silver Medal,1
96,ARUNOVIC Zorana,Gold Medal,1
97,ASEMOTA Duan,Gold Medal,1
98,ASHER-SMITH Dina,Silver Medal,1
99,ASSEFA Tigst,Silver Medal,1
100,ATWELL Amy,Bronze Medal,1
101,AUGER-ALIASSIME Felix,Bronze Medal,1
102,AVERILL Taylor,Bronze Medal,1
103,AVRAMOVIC Aleksa,Bronze Medal,1
104,AWITI ALCARAZ Prisca,Silver Medal,1
105,AXELSEN Viktor,Gold Medal,1
106,AYAYI Valeriane,Silver Medal,1
107,AZARPIRA Amirali,Bronze Medal,1
108,AZU Jeremiah,Bronze Medal,1
109,AZUMA Sera,Bronze Medal,1
110,BABULFATH Tara,Bronze Medal,1
111,BACHMANN ANDERSEN Daniel,Silver Medal,1
112,BACON Sarah,Silver Medal,1
113,BACOSI Diana,Gold Medal,1
114,BADE Loic,Silver Medal,1
115,BADIANE Marieme,Silver Medal,1
116,BAENA Alex,Gold Medal,1
117,BAILEY Christopher,Gold Medal,1
118,BAKANOV Shani,Silver Medal,1
119,BAKASTOVA Yuliia,Gold Medal,1
120,BALEIWAIRIKI Iosefo,Silver Medal,1
121,BALK Lars,Gold Medal,1
122,BALZER Sara,Silver Medal,1
123,BAN Hyojin,Gold Medal,1
124,BANTI Caterina Marianna,Gold Medal,1
125,BARAJAS Angel,Silver Medal,1
126,BARANSKI Fabian,Bronze Medal,1
127,BARBELIN Lisa,Bronze Medal,1
128,BARBOSA Jade,Bronze Medal,1
129,BARBOSU Ana,Bronze Medal,1
130,BARDZILOUSKAYA Viyaleta,Silver Medal,1
131,BARKER Elinor,Bronze Medal,1
132,BARKER Elinor,Silver Medal,1
133,BARKER Megan,Bronze Medal,1
134,BARKHORDARI Mehran,Silver Medal,1
135,BARRAQUE Jean Pascal,Gold Medal,1
136,BARRIOS Pablo,Gold Medal,1
137,BARROWS Ian,Bronze Medal,1
138,BARSHIM Mutaz Essa,Bronze Medal,1
139,BATTEN Haley,Silver Medal,1
140,BATTOCLETTI Nadia,Silver Medal,1
141,BATUM Nicolas,Silver Medal,1
142,BAVUUDORJ Baasankhuu,Silver Medal,1
143,BEAUGRAND Cassandre,Gold Medal,1
144,BEDNAREK Kenneth,Silver Medal,1
145,BEKAURI Lasha,Gold Medal,1
146,BELENIUK Zhan,Bronze Medal,1
147,BELL Georgia,Bronze Medal,1
148,BELLANDI Alice,Gold Medal,1
149,BEN SEGHIR Eliesse,Bronze Medal,1
150,BENEGAS Perris,Silver Medal,1
151,BENJAMIN Rai,Gold Medal,2
152,BENNAMA Billal,Silver Medal,1
153,BENUS Matej,Bronze Medal,1
154,BERAN Jiri,Bronze Medal,1
155,BERES Amalia,Gold Medal,1
156,BERGER Ann-Katrin,Bronze Medal,1
157,BERGERE Leo,Bronze Medal,1
158,BERGMANN Julia Isabelle,Bronze Medal,1
159,BERKOFF Katharine,Bronze Medal,1
